;file_name;moods;x_s;y_s
0;emoji_102.jpg;['angry'];[404];[298]
1;emoji_12.jpg;['surprised'];[498];[79]
2;emoji_120.jpg;['happy'];[477];[93]
3;emoji_129.jpg;['crying'];[359];[292]
4;emoji_13.jpg;['sad'];[417];[504]
5;emoji_134.jpg;['happy'];[22];[286]
6;emoji_139.jpg;['surprised'];[532];[309]
7;emoji_14.jpg;['crying'];[466];[416]
8;emoji_144.jpg;['happy'];[97];[486]
9;emoji_15.jpg;['surprised'];[730];[412]
10;emoji_150.jpg;['angry'];[129];[388]
11;emoji_155.jpg;['angry'];[148];[27]
12;emoji_160.jpg;['surprised'];[287];[459]
13;emoji_163.jpg;['crying'];[259];[443]
14;emoji_173.jpg;['sad'];[673];[191]
15;emoji_176.jpg;['sad'];[55];[236]
16;emoji_178.jpg;['sad'];[61];[388]
17;emoji_184.jpg;['angry'];[280];[300]
18;emoji_188.jpg;['happy'];[665];[325]
19;emoji_19.jpg;['happy'];[27];[492]
20;emoji_193.jpg;['crying'];[21];[191]
21;emoji_198.jpg;['sad'];[256];[59]
22;emoji_199.jpg;['sad'];[528];[305]
23;emoji_20.jpg;['angry'];[600];[325]
24;emoji_201.jpg;['sad'];[694];[417]
25;emoji_210.jpg;['crying'];[565];[289]
26;emoji_212.jpg;['surprised'];[128];[78]
27;emoji_226.jpg;['surprised'];[542];[257]
28;emoji_228.jpg;['happy'];[180];[542]
29;emoji_235.jpg;['angry'];[685];[317]
30;emoji_238.jpg;['sad'];[346];[383]
31;emoji_241.jpg;['surprised'];[730];[439]
32;emoji_259.jpg;['angry'];[247];[487]
33;emoji_263.jpg;['angry'];[420];[4]
34;emoji_267.jpg;['angry'];[33];[267]
35;emoji_272.jpg;['happy'];[154];[5]
36;emoji_29.jpg;['crying'];[618];[169]
37;emoji_44.jpg;['crying'];[291];[44]
38;emoji_47.jpg;['happy'];[159];[91]
39;emoji_50.jpg;['surprised'];[601];[365]
40;emoji_53.jpg;['surprised'];[432];[264]
41;emoji_56.jpg;['happy'];[219];[459]
42;emoji_64.jpg;['angry'];[646];[503]
43;emoji_66.jpg;['happy'];[85];[107]
44;emoji_67.jpg;['sad'];[293];[522]
45;emoji_68.jpg;['sad'];[212];[328]
46;emoji_69.jpg;['crying'];[511];[363]
47;emoji_79.jpg;['crying'];[621];[19]
48;emoji_87.jpg;['surprised'];[520];[65]
49;emoji_91.jpg;['crying'];[554];[189]
